nconst,primaryname,birthyear,deathyear,primaryprofession,knownfortitles
nm0806822,Ron Smerczak,1949,2019,actor,"tt1492179,tt0113719,tt1388419,tt0127357"
nm0807006,David Smilow,1952,\N,"writer,actor,producer","tt0062595,tt0086352,tt0048845,tt0044265"
nm0807008,Freark Smink,1948,\N,actor,"tt2401597,tt1772452,tt0094509,tt0098759"
nm0807031,Aleksandr Smirnov,1961,\N,actor,"tt0123935,tt0194077,tt0202667,tt0087938"
nm0807061,Vladimir Smirnov,1941,2000,actor,"tt0278046,tt0429360,tt0347768,tt0320424"
nm0807063,Yuri Smirnov,1938,\N,"actor,soundtrack","tt0091745,tt0088921,tt0300287,tt0251602"
nm0807089,Yelizaveta Smirnova,1908,1999,writer,"tt0314912,tt5335202,tt0086407,tt0102718"
nm0807118,John Smit,\N,\N,actor,"tt0086369,tt0252770,tt0063897,tt0080779"
nm0807130,Paulette Smit,1957,\N,actress,"tt0176357,tt0202922,tt0096597,tt0094509"
nm0807278,Allison Smith,\N,\N,actress,"tt0372185,tt0200276,tt0086742"
nm0807286,Alvy Ray Smith,\N,\N,"visual_effects,director,writer","tt14054068,tt0084726,tt4439852,tt0086855"
nm0807347,April Smith,\N,\N,"miscellaneous,producer,writer","tt0083395,tt0087212,tt0481452,tt9244556"
nm0807399,Barbara Elaine Smith,\N,\N,"writer,actress","tt0073992,tt0075500,tt0086478,tt0219275"
nm0807571,Bubba Smith,1945,2011,"actor,producer,soundtrack","tt0095882,tt0087928,tt0098105,tt0093756"
nm0807767,Cotter Smith,1949,\N,"actor,miscellaneous","tt0098789,tt5290382,tt0290334,tt1132623"
nm0807996,Donegan Smith,1936,\N,actor,"tt0389321,tt0081859,tt0089239,tt0090738"
nm0808100,Edward E. Smith,1890,1965,writer,"tt0088028,tt0216876"
nm0808201,Ferdinand Jay Smith,1945,\N,"composer,music_department,actor","tt0297827,tt0977694,tt0202179,tt0964517"
nm0808333,Glenn Allen Smith,\N,\N,writer,tt0087198
nm0808477,Howard Smith,1933,2022,producer,"tt0119333,tt0088001,tt0285698,tt0095925"
nm0808498,Iain Smith,1949,\N,"producer,production_manager,actor","tt0119116,tt0206634,tt1392190,tt0133152"
nm0808500,Ian Smith,1938,\N,"actor,producer,script_department","tt1119176,tt0077064,tt0088580,tt5260932"
nm0808510,Ira N. Smith,\N,\N,producer,tt0083550
nm0808535,J.D. Smith,\N,\N,actor,"tt0084602,tt0086768,tt0109965,tt0112857"
nm0808792,John Smith,\N,\N,writer,tt0088739
nm0808803,John Gary Smith,\N,\N,composer,tt0080893
