tconst,titletype,primarytitle,originaltitle,isadult,startyear,endyear,runtimeminutes,genres
tt0024688,short,Torchy's Loud Spooker,Torchy's Loud Spooker,0,1933,\N,21,"Comedy,Short"
tt0098682,movie,"Ya sluzhil v okhrane Stalina, ili Opyt dokumentalnoy mifologii","Ya sluzhil v okhrane Stalina, ili Opyt dokumentalnoy mifologii",0,1989,\N,90,Documentary
tt0098683,movie,Ya v polnom poryadke,Ya v polnom poryadke,0,1989,\N,80,"Adventure,Romance"
tt0098684,movie,Yaaba,Yaaba,0,1989,\N,90,"Drama,Romance"
tt0098685,short,Yad Vashem: Preserving the Past to Ensure the Future,Yad Vashem: Preserving the Past to Ensure the Future,0,1989,\N,15,"Documentary,Short"
tt0098686,movie,Yan gui xiong lin,Yan gui xiong lin,0,1988,\N,90,Horror
tt0098687,movie,Ye feng kuang,Ye feng kuang,0,1989,\N,98,Drama
tt0098688,short,Nastya and Egor,Nastya i Egor,0,1989,\N,32,"Documentary,Short"
tt0098689,movie,The Yen Family,Kimurake no hitobito,0,1988,\N,113,"Comedy,Drama"
tt0098690,movie,Vampire vs Vampire,Yi mei dao ren,0,1989,\N,86,"Action,Comedy,Fantasy"
tt0098691,movie,A Better Tomorrow III: Love and Death in Saigon,Ying hung boon sik III: Zik yeung ji gor,0,1989,\N,105,"Action,Crime,War"
tt0098692,movie,Wicked City,Yôjû toshi,0,1987,\N,82,"Action,Animation,Fantasy"
tt0098693,movie,Yosemite: The Fate of Heaven,Yosemite: The Fate of Heaven,0,1989,\N,58,Documentary
tt0098694,movie,All About Ah-Long,Ah Long dik goo si,0,1989,\N,95,Drama
tt0098695,tvSeries,Young Charlie Chaplin,Young Charlie Chaplin,0,1989,1989,160,"Biography,Comedy,Drama"
tt0098696,tvMovie,Your Mother Wears Combat Boots,Your Mother Wears Combat Boots,0,1989,\N,100,Comedy
tt0098700,movie,Za prekrasnykh dam!,Za prekrasnykh dam!,0,1989,\N,71,"Comedy,Crime"
tt0098701,movie,Zabij mnie glino,Zabij mnie glino,0,1988,\N,122,"Crime,Thriller"
tt0098702,movie,The Bachelor's Swan Song,Zai jian wang lao wu,0,1989,\N,103,"Comedy,Romance"
tt0098703,movie,The Last Duel,Joi hei fung wan,0,1989,\N,97,"Action,Crime"
tt0098704,movie,Zakon,Zakon,0,1989,\N,138,"Drama,History"
tt0098705,movie,Zelazna reka,Zelazna reka,0,1989,\N,99,"Drama,History"
tt0098706,tvMovie,Zhenitba Balzaminova,Zhenitba Balzaminova,0,1989,\N,66,"Comedy,Music"
tt0098707,movie,The Final Judgement,Ji hap chong see: Gung sam,0,1993,\N,93,"Crime,Mystery"
tt0098708,movie,Casino Raiders,Zhi zun wu shang,0,1989,\N,127,"Action,Crime,Drama"
tt0098709,movie,Limited Life,Zhizn po limitu,0,1989,\N,75,Drama
tt0098710,movie,Seven Warriors,Zhong yi qun ying,0,1989,\N,94,"Action,Crime,Drama"
tt0098711,movie,Crocodile Hunter,Juen diu daai ngok,0,1989,\N,104,"Action,Comedy"
tt0098712,movie,"Thank You, Sir",Zhuang zhi xiong xin,0,1989,\N,92,Action
tt0098713,movie,Zhuo gui da shi,Zhuo gui da shi,0,1989,\N,93,"Comedy,Horror"
tt0098714,movie,The Sleazy Uncle,Lo zio indegno,0,1989,\N,100,Comedy
tt0098715,tvMovie,Sugar,Zucker,0,1989,\N,109,"Comedy,Sci-Fi"
