tconst,directors,writers
tt0045707,nm0901881,"nm4449190,nm0901881"
tt0122004,nm0661978,\N
tt0150397,"nm0460667,nm0907203",nm0100072
tt0154669,nm0888782,nm0452442
tt0156466,nm0419737,"nm0128818,nm0347603"
tt0184981,nm0000729,\N
tt0230829,nm0003412,nm0779961
tt0294458,"nm0113512,nm0206758","nm0031976,nm0649148"
tt0349639,nm0000776,nm0919815
tt0364624,\N,\N
tt0372177,nm0351531,nm0784149
tt0400915,nm0350651,\N
tt0420270,nm0217639,\N
tt0426551,nm0059277,nm0059277
tt0428307,nm0367556,nm0518844
tt0459747,nm1589652,nm1589652
tt0480305,nm2035633,\N
tt0480307,nm0506354,\N
tt0480308,nm0506354,\N
tt0480310,\N,\N
tt0480313,nm12890693,nm7262053
tt0480316,\N,\N
tt0480320,"nm2040103,nm2038706",nm1794871
tt0480321,"nm0782096,nm0350867",nm0350867
tt0480330,nm1981673,nm1981673
tt0480336,nm0889445,"nm0406619,nm0543765,nm0889445"
tt0480337,nm1672007,nm0452037
tt0480340,nm0759988,\N
tt0480341,nm0471240,nm0471240
tt0480342,nm0537180,\N
tt0480343,nm0040255,nm0452037
tt0480344,nm0974085,nm0974085
tt0480345,nm1256147,"nm1043325,nm0504327,nm0748429"
tt0480346,nm2043288,nm1706572
tt0480347,nm0537180,\N
tt0480350,nm1137549,nm1137549
tt0480354,nm1431351,nm1296472
tt0480355,nm1042411,nm1042411
tt0480356,"nm1016584,nm2041468,nm2006652","nm2036902,nm2037857,nm2041517"
tt0480358,nm2034504,nm2034504
tt0480359,nm2034885,\N
tt0480361,nm0340493,nm1208415
tt0480364,\N,\N
tt0480370,"nm1967980,nm2035704,nm2541919,nm2550532",nm2550532
tt0480371,nm0347086,\N
tt0480372,nm0322533,nm1114104
tt0480374,nm2040170,nm2040170
tt0480380,nm0363668,nm0363668
tt0480385,nm0459451,\N
tt0480389,"nm1917318,nm0639994","nm0445425,nm0702880"
tt0480391,nm1685824,\N
tt0480407,nm2036999,nm2036999
tt0480411,nm1120912,nm1944938
tt0480412,nm2034885,\N
tt0480418,nm0784941,nm2041901
tt0480419,nm1672007,"nm0590316,nm0550697,nm1672007"
tt0480421,nm1780995,nm1780995
tt0480422,nm1106529,nm0361243
