tconst,parenttconst,seasonnumber,episodenumber
tt7492060,tt0086744,2,15
tt7500894,tt0081860,37,4
tt7504306,tt0081961,3,7
tt7511070,tt0088512,\N,\N
tt7511166,tt0088554,1,1649
tt7511168,tt0088554,1,1650
tt7511174,tt0088554,1,1651
tt7512720,tt0081857,37,33
tt7512724,tt0081857,37,31
tt7512726,tt0081857,37,32
tt7512730,tt0081857,37,34
tt7512732,tt0081857,37,35
tt7512734,tt0081857,37,37
tt7514142,tt0088512,\N,\N
tt7517596,tt0088512,\N,\N
tt7517600,tt0088512,\N,\N
tt7522068,tt0088581,1,1
tt7522072,tt0088581,1,46
tt7522074,tt0088581,1,50
tt7539478,tt0080301,1,163
tt7539544,tt0080301,1,162
tt7539556,tt0080301,1,161
tt7539566,tt0080301,1,160
tt7539580,tt0080301,1,159
tt7539594,tt0080301,1,158
tt7539602,tt0080301,1,157
tt7540030,tt0081857,37,38
tt7540032,tt0081857,37,39
tt7540034,tt0081857,37,40
tt7540040,tt0081857,37,41
tt7540044,tt0081857,37,81
tt7540048,tt0081857,37,43
tt7540050,tt0081857,37,44
tt7540624,tt0080301,1,156
tt7540632,tt0080301,1,155
tt7540646,tt0080301,1,154
tt7540676,tt0080301,1,153
tt7540706,tt0080301,1,152
tt7540734,tt0080301,1,151
tt7540796,tt0080301,1,149
tt7546438,tt0083473,2,7
tt7547722,tt0088512,\N,\N
tt7547728,tt0088512,\N,\N
tt7547742,tt0088512,\N,\N
tt7547752,tt0088512,\N,\N
tt7553370,tt0086750,\N,\N
tt7554610,tt0083380,4,17
tt7557722,tt0088550,\N,\N
tt7563892,tt0088512,\N,\N
tt7567370,tt0088512,\N,\N
tt7570168,tt0088554,1,1652
tt7570178,tt0088554,1,1653
tt7571958,tt0088512,\N,\N
tt7571968,tt0088512,\N,\N
tt7572748,tt0081857,37,48
tt7572752,tt0081857,37,54
tt7572754,tt0081857,37,60
tt7572758,tt0081857,37,66
tt7594570,tt0088512,\N,\N
tt7594572,tt0088512,\N,\N
tt7598138,tt0088512,\N,\N
tt7598144,tt0088512,\N,\N
tt7605006,tt0086792,1,6
tt7613038,tt0088512,\N,\N
tt7613060,tt0088512,\N,\N
tt7617784,tt0088512,\N,\N
tt7621424,tt0088512,\N,\N
tt7624278,tt0081857,37,82
tt7624280,tt0081857,37,56
tt7624286,tt0081857,37,57
tt7624288,tt0081857,37,58
tt7624296,tt0081857,37,59
tt7624298,tt0081857,37,83
tt7624300,tt0081857,37,61
tt7639928,tt0088512,\N,\N
tt7639934,tt0088512,\N,\N
tt7639936,tt0088512,\N,\N
tt7639940,tt0088512,\N,\N
tt7651076,tt0088512,\N,\N
tt7651368,tt0081857,37,62
tt7651372,tt0081857,37,63
tt7651374,tt0081857,37,64
tt7651376,tt0081857,37,65
tt7651380,tt0081857,37,85
tt7651384,tt0081857,37,67
tt7651386,tt0081857,37,68
tt7651388,tt0081857,37,69
tt7651398,tt0081857,37,70
tt7651610,tt0081857,1,226
tt7658178,tt0088512,\N,\N
tt7662030,tt0088512,\N,\N
tt7662032,tt0088512,\N,\N
tt7664526,tt0088554,1,1654
tt7664544,tt0088554,1,1655
tt7668606,tt0088512,\N,\N
tt7668610,tt0088512,\N,\N
tt7671530,tt0088512,\N,\N
tt7675142,tt0088512,\N,\N
tt7678896,tt0081857,\N,\N
tt7683650,tt0081857,37,72
tt7683652,tt0081857,37,78
tt7683658,tt0081857,37,84
tt7683660,tt0081857,37,90
tt7683662,tt0081857,37,96
tt7692908,tt0088554,1,1656
tt7692918,tt0088554,1,1657
tt7694810,tt0088512,\N,\N
tt7697456,tt0083504,3,14
tt7701938,tt0088512,\N,\N
tt7701946,tt0088512,\N,\N
tt7701986,tt0088512,\N,\N
tt7704224,tt0086806,1,5
tt7709476,tt0081857,37,104
tt7709478,tt0081857,37,105
tt7709480,tt0081857,37,74
tt7709484,tt0081857,37,75
tt7709486,tt0081857,37,76
tt7709488,tt0081857,37,77
tt7709492,tt0081857,37,106
tt7709494,tt0081857,37,79
tt7722202,tt0088512,\N,\N
tt7726014,tt0088512,\N,\N
tt7726018,tt0088512,\N,\N
tt7726024,tt0088512,\N,\N
tt7726028,tt0088512,\N,\N
tt7726032,tt0088512,\N,\N
tt7726036,tt0088512,\N,\N
tt7726038,tt0088512,\N,\N
tt7726044,tt0088512,\N,\N
tt7726046,tt0088512,\N,\N
tt7740324,tt0081857,37,80
tt7748544,tt0088486,19,7
tt7748548,tt0088486,20,1
tt7753320,tt0081857,\N,\N
tt7753378,tt0081857,\N,\N
tt7753426,tt0081857,\N,\N
tt7753456,tt0081857,\N,\N
tt7758644,tt0088736,1,2
tt7758646,tt0088736,1,3
tt7765498,tt0081857,37,107
tt7765500,tt0081857,\N,\N
tt7765504,tt0081857,37,86
tt7765506,tt0081857,37,87
tt7765510,tt0081857,37,88
tt7765512,tt0081857,37,89
tt7765514,tt0081857,\N,\N
tt7765516,tt0081857,37,91
tt7772918,tt0081857,1,101
tt7772924,tt0081857,1,104
tt7772938,tt0081857,3,232
tt7779780,tt0088512,\N,\N
tt7779786,tt0088512,\N,\N
tt7779798,tt0088512,\N,\N
tt7779800,tt0088512,\N,\N
tt7785200,tt0081857,37,92
tt7785202,tt0081857,37,93
tt7785204,tt0081857,37,94
tt7785208,tt0081857,37,95
tt7789454,tt0086793,1,1776
tt7789496,tt0086793,1,1777
tt7789526,tt0086793,1,1778
tt7789566,tt0086793,1,1779
tt7790940,tt0083448,36,2
tt7792256,tt0086793,1,1780
tt7792330,tt0086793,1,1781
tt7792370,tt0086793,1,1782
tt7792434,tt0086793,1,1783
tt7792462,tt0086793,1,1784
tt7792472,tt0086793,1,1785
tt7792496,tt0086793,1,1786
tt7792550,tt0086793,1,1787
tt7792604,tt0086793,1,1788
tt7792730,tt0086793,1,1789
tt7792918,tt0088554,1,1658
tt7792922,tt0088554,1,1659
tt7792930,tt0088554,1,1660
tt7792942,tt0088554,1,1661
