tconst,ordering,nconst,category,job,characters
tt0051297,5,nm0002082,actor,\N,"[""Det. Jimmy Halloran""]"
tt0051297,6,nm0502639,actor,\N,"[""Narrator""]"
tt0051297,7,nm0570615,actor,\N,"[""Lt. Daniel Muldoon"",""Lt. Dan Muldoon""]"
tt0051297,8,nm1876863,actor,\N,"[""Cop"",""Cop Firing Rifle"",""Cop Handing Out Presents""]"
tt0051297,9,nm0514586,actor,\N,"[""Sgt. Max Higgins"",""Desk Sergeant""]"
tt0051298,10,nm0644670,actor,\N,"[""Joe""]"
tt0051298,1,nm0175919,actor,\N,"[""Spin Evans (1957-1958)""]"
tt0051298,2,nm0831564,actor,\N,"[""Martin 'Marty' Markham (1957-1958)""]"
tt0051298,3,nm0002019,actor,\N,"[""Moochie""]"
tt0051298,4,nm0641729,actor,\N,"[""Perkins""]"
tt0051298,5,nm0001013,actor,\N,"[""Bill Burnett""]"
tt0051298,6,nm0054117,actor,\N,"[""Logan""]"
tt0051298,7,nm0002088,actress,\N,"[""Annette""]"
tt0051298,8,nm0318920,actress,\N,"[""Darlene""]"
tt0051298,9,nm0635445,actor,\N,"[""Ambitious""]"
tt0051299,10,nm0588225,actor,\N,"[""Ranger Cooper""]"
tt0051299,1,nm0488814,actor,\N,"[""Major Robert Rogers""]"
tt0051299,2,nm0001171,actor,\N,"[""Sergeant Hunk Marriner"",""Hunk Marriner""]"
tt0051299,3,nm0122357,actor,\N,"[""Ensign Langdon Towne"",""Langdon Towne""]"
tt0051299,4,nm0867282,actor,\N,"[""General Amherst""]"
tt0051299,5,nm0310846,actress,\N,"[""Natula""]"
tt0051299,6,nm0151228,actor,\N,"[""Black Wolf"",""Chief Black Wolf""]"
tt0051299,7,nm0395731,actor,\N,"[""Sailor Henchman"",""Smith""]"
tt0051299,8,nm0491591,actor,\N,"[""Ranger Mason""]"
tt0051299,9,nm0290190,actress,\N,"[""Lila Jason""]"
tt0051301,10,nm0258686,actor,\N,"[""Sergeant Davis"",""Sgt. Lee Davis"",""Police Sergeant""]"
tt0051301,1,nm0301887,actor,\N,"[""Peter Gunn""]"
tt0051301,2,nm0076453,actor,\N,"[""Lieutenant Jacoby"",""Lt Jacoby"",""Lt. Jacoby""]"
tt0051301,3,nm0017030,actress,\N,"[""Edie Hart""]"
tt0051301,4,nm0149460,actor,\N,"[""Emmett"",""Emmett Ward"",""Emmett - Pianist""]"
tt0051301,5,nm0001175,writer,creator,\N
tt0051301,6,nm0256216,actress,\N,"[""Mother""]"
tt0051301,7,nm0881832,actress,\N,"[""Mother""]"
tt0051301,8,nm0487036,actor,\N,"[""Leslie"",""Chop"",""Sloane""]"
tt0051301,9,nm0000863,actor,\N,"[""Babby""]"
tt0051303,10,nm0098333,self,\N,"[""Self""]"
tt0051303,1,nm0341311,self,\N,"[""Self - Host""]"
tt0051303,2,nm0647692,self,\N,"[""Self - Announcer"",""Self""]"
tt0051303,3,nm0507691,self,\N,"[""Self - Host""]"
tt0051303,4,nm0050639,self,\N,"[""Self""]"
tt0051303,5,nm0011244,self,\N,"[""Self""]"
tt0051303,6,nm0378532,self,\N,"[""Self - Guest""]"
tt0051303,7,nm0168035,self,\N,"[""Self - Guest""]"
tt0051303,8,nm0206376,self,\N,"[""Self""]"
tt0051303,9,nm0577803,self,\N,"[""Self""]"
tt0051304,10,nm0001374,actor,\N,"[""Lt. Aaron Gibbs""]"
tt0051304,1,nm0000454,actor,\N,\N
tt0051304,2,nm0001800,actor,\N,\N
tt0051304,3,nm0001023,actor,\N,"[""Sam Caldwell""]"
tt0051304,4,nm0792130,actress,\N,"[""Sunny""]"
tt0051304,5,nm0867144,actor,\N,"[""The Father""]"
tt0051304,6,nm0000543,actor,\N,"[""Richie Rogart""]"
tt0051304,7,nm0528595,actress,\N,"[""Elaine Hermann""]"
tt0051304,8,nm0000910,actress,\N,\N
tt0051304,9,nm0623658,actress,\N,"[""Mrs. Conrad""]"
tt0051305,10,nm0610472,actor,\N,"[""Narrator""]"
tt0051305,1,nm0603682,actor,\N,"[""Professor Bernard Quatermass""]"
tt0051305,2,nm0511695,actor,\N,"[""Dr. Matthew Roney""]"
tt0051305,3,nm0124236,actor,\N,"[""Colonel James Breen""]"
tt0051305,4,nm0833652,actor,\N,"[""Captain Potter""]"
tt0051305,5,nm0278097,actress,\N,"[""Barbara Judd""]"
tt0051305,6,nm0728085,actor,\N,"[""Sergeant""]"
tt0051305,7,nm0329468,actor,\N,"[""Corporal Gibson""]"
tt0051305,8,nm0184968,actor,\N,"[""First Private"",""1st Sapper""]"
tt0051305,9,nm0319468,actor,\N,"[""Second Private"",""2nd Sapper""]"
tt0051306,10,nm0829484,self,\N,"[""Self - Announcer""]"
tt0051306,1,nm0728811,self,\N,"[""Self - Host"",""Singer"",""Performer""]"
tt0051306,2,nm1648581,self,\N,"[""Self - Guitarist"",""Singer""]"
tt0051306,3,nm1651356,self,\N,"[""Self - Singer"",""Guitarist"",""Musician""]"
tt0051306,4,nm6355536,self,\N,"[""Self - Musician"",""Self - Banjo Player"",""Self - Guitarist""]"
tt0051306,5,nm0093962,self,\N,"[""Self - Singer"",""Guitarist"",""Self - Musician""]"
tt0051306,6,nm6357914,self,\N,"[""Themselves - Singers"",""Musicians""]"
tt0051306,7,nm6355535,self,\N,"[""Self - Fiddler""]"
tt0051306,8,nm3679117,self,\N,"[""Themselves - Singers"",""Guitarists""]"
tt0051306,9,nm0027077,self,\N,"[""Self - Singer""]"
tt0051307,10,nm0786252,actor,\N,"[""Ernie"",""Ralph"",""Ralph Blaikey""]"
tt0051307,1,nm0204824,actor,\N,"[""Wes Cameron""]"
tt0051307,2,nm0420382,actor,\N,"[""Skip Johnson""]"
tt0051307,3,nm0719672,actress,\N,"[""Patty Johnson""]"
tt0051307,4,nm2862236,actress,\N,"[""Susan Johnson""]"
tt0051307,5,nm0571220,actor,\N,"[""Fire Chief Tucker"",""Chief""]"
tt0051307,6,nm0926030,actor,\N,"[""Interne""]"
tt0051307,7,nm0180452,actor,\N,"[""Professor Oliver Lawrence"",""Robert Stark""]"
tt0051307,8,nm0068679,actress,\N,"[""Mary Taggert"",""Mrs. Shero""]"
tt0051307,9,nm0810082,actor,\N,"[""Frank Rawlins"",""Mr. Noyes""]"
tt0051308,10,nm0814064,actress,\N,"[""Hattie Denton""]"
tt0051308,1,nm0168035,actor,\N,"[""Lucas McCain"",""Earl Bantry""]"
tt0051308,2,nm0186844,actor,\N,"[""Mark McCain""]"
tt0051308,3,nm0280707,actor,\N,"[""Micah Torrance"",""Doctor"",""Norman Carraway""]"
tt0051308,4,nm0072534,actor,\N,"[""Townsman"",""Bartender"",""Barfly""]"
tt0051308,5,nm0703767,actor,\N,"[""Frank Sweeney""]"
tt0051308,6,nm0086323,actress,\N,"[""Lou Mallory""]"
tt0051308,7,nm0383414,actor,\N,"[""Nils Swenson"",""Bartender"",""Henry Schneider""]"
tt0051308,8,nm0852599,actress,\N,"[""Milly Scott"",""Millie Scott""]"
tt0051308,9,nm0911966,actor,\N,"[""John Hamilton""]"
tt0051309,10,nm0026930,actor,\N,"[""John Healy"",""Matt Kane""]"
tt0051309,1,nm0852710,actor,\N,"[""Captain Jim Flagg"",""Capt. Jim Flagg""]"
tt0051309,2,nm0581005,actor,\N,"[""Lieutenant Colin Kirby"",""Lt. Colin Kirby""]"
tt0051309,3,nm0926338,actor,\N,"[""Sergeant Buck Sinclair"",""Sgt. Buck Sinclair""]"
tt0051309,4,nm0145998,actor,\N,"[""Deserter"",""Ennis"",""Henchman""]"
tt0051309,5,nm0578415,actor,\N,"[""Ed Maddox"",""Fenton Henchman"",""Foggy""]"
tt0051309,6,nm0250881,actress,\N,"[""Maggie Hill"",""Molly Randolph""]"
tt0051309,7,nm0103048,actor,\N,"[""Arnold Hawkins"",""Mike Fenton""]"
tt0051309,8,nm0253140,actor,\N,"[""Colonel Pritchard"",""Tomblin's Letter-Writing Friend""]"
tt0051309,9,nm0731340,actor,\N,\N
tt0051310,10,nm0291598,actor,\N,"[""Fleury"",""Jacques Fleury""]"
tt0051310,1,nm0330961,actor,\N,"[""Sir Percy Blakeney"",""the Scarlet Pimpernel"",""The Scarlet Pimpernel""]"
tt0051310,2,nm0885676,actor,\N,"[""Chauvelin""]"
tt0051310,3,nm0873743,actor,\N,"[""Sir Andrew Ffoulkes""]"
tt0051310,4,nm0627963,actor,\N,"[""Lord Richard Hastings""]"
tt0051310,5,nm0310025,actor,\N,"[""Prince of Wales"",""George the Prince Regent"",""The Prince Regent""]"
tt0051310,6,nm0543169,actress,\N,"[""Countess la Valliere""]"
tt0051310,7,nm0225100,actor,\N,"[""Major Domo""]"
tt0051310,8,nm0175015,actress,\N,"[""Melanie"",""Princess Melanie de Monsantes""]"
tt0051310,9,nm0743099,actor,\N,"[""Banker Rothstein"",""Rothstein""]"
tt0051311,10,nm0912829,actor,\N,"[""Crew Member"",""Dutch"",""First Mate""]"
tt0051311,1,nm0000978,actor,\N,"[""Mike Nelson"",""Whitey Fender""]"
tt0051311,2,nm0236951,actor,\N,"[""Alfonso"",""Artie"",""Brave Miner, Ben Whitman""]"
tt0051311,3,nm0113308,actor,\N,"[""Guard"",""Court"",""DeWitt Miller""]"
tt0051311,4,nm0365642,actress,\N,"[""Betty Rainard"",""Corrine Baker"",""Joan Mason""]"
tt0051311,5,nm0125503,writer,creator,\N
tt0051311,6,nm0100615,actor,\N,"[""Asst. DA"",""Delmar"",""Eddie Mahar""]"
tt0051311,7,nm0698217,actor,\N,"[""Dick Talbot"",""Amphibian Pilot"",""Dick Talbot, the Amphibian Pilot""]"
tt0051311,8,nm0176773,actor,\N,"[""Chief"",""Ed"",""John Benton""]"
