tconst,averagerating,numvotes
tt0024688,4.2,6
tt0098682,6.9,61
tt0098683,5.7,15
tt0098684,7.1,722
tt0098685,6.4,32
tt0098686,5.0,11
tt0098687,6.0,24
tt0098688,6.0,100
tt0098689,6.7,113
tt0098690,6.1,506
tt0098691,5.9,3522
tt0098692,6.7,8877
tt0098693,8.2,33
tt0098694,7.2,1618
tt0098695,6.9,83
tt0098696,5.2,234
tt0098700,5.6,154
tt0098701,6.5,345
tt0098702,6.7,71
tt0098703,5.2,28
tt0098704,7.4,22
tt0098705,6.7,28
tt0098706,7.2,13
tt0098707,7.3,73
tt0098708,6.7,490
tt0098709,6.2,42
tt0098710,6.1,222
tt0098711,5.8,89
tt0098712,6.1,43
tt0098713,6.2,99
tt0098714,6.3,118
tt0098715,6.3,42
tt0098716,6.2,15
tt0098717,7.7,62
tt0098718,5.9,165
tt0098719,4.7,50
tt0098720,5.5,10
tt0098721,6.7,399
tt0098722,3.9,39
tt0098723,8.1,107
tt0098724,7.2,57453
tt0098725,6.7,5024
tt0098727,4.8,14
tt0098728,7.0,46
tt0098730,7.1,52
tt0098731,7.0,13
tt0098732,7.0,427
tt0098733,7.0,46
tt0098734,5.9,23
tt0098736,6.0,49
tt0098737,7.8,2531
tt0098740,6.2,5624
tt0098741,4.0,157
tt0098742,7.5,75
tt0098743,6.8,68
tt0098744,8.4,16
tt0098745,6.9,93
tt0098746,6.7,351
tt0098748,6.5,119
tt0098749,6.5,36143
tt0098750,7.1,11
tt0098751,6.3,64
tt0098752,6.4,1860
tt0098753,6.9,27
tt0098754,7.1,423
tt0098756,5.3,341
tt0098757,7.6,107
tt0098758,7.2,63
tt0098759,7.6,61
tt0098760,8.2,261
tt0098761,6.0,33
tt0098762,7.1,1856
tt0098763,6.7,12280
tt0098764,7.4,139
tt0098765,8.7,5987
tt0098766,7.5,435
tt0098767,7.5,84
tt0098768,6.0,43
tt0098769,9.1,17507
tt0098770,8.1,49
tt0098771,7.8,54
tt0098772,4.5,628
tt0098773,7.2,216
tt0098774,8.1,1793
tt0098775,7.5,30
tt0098776,6.0,35
tt0098777,8.1,78
tt0098778,6.2,24
tt0098779,7.0,272
tt0098780,7.6,3638
tt0098781,8.0,1503
tt0098782,6.6,645
tt0098783,6.8,38
tt0098784,7.6,193
tt0098785,7.5,622
tt0098786,8.1,234
tt0098787,7.2,23
tt0098788,8.2,48
tt0098789,6.9,121
tt0098790,7.0,1480
tt0098791,6.9,41
tt0098792,6.8,48
tt0098793,7.5,65
tt0098794,6.6,937
tt0098795,5.2,675
tt0098796,6.8,604
tt0098797,7.7,353
tt0098798,7.1,7893
tt0098799,6.3,11
tt0098800,7.9,140387
tt0098801,7.3,153
tt0098802,8.1,2867
tt0098803,7.9,1266
tt0098804,5.6,60
tt0098805,7.1,78
tt0098806,7.9,59
tt0098807,7.9,57
tt0098808,8.1,51
tt0098809,8.0,199
tt0098811,6.5,198
tt0098812,6.4,34
tt0098813,7.0,488
tt0098815,6.8,54
tt0098816,6.3,64
tt0098817,7.3,1957
tt0098818,5.6,1426
tt0098819,6.4,22
tt0098820,7.9,5332
tt0098821,8.1,18
tt0098822,6.2,10
tt0098824,6.6,50
tt0098825,8.5,14791
tt0098826,8.1,223
tt0098830,8.1,12202
tt0098831,5.6,155
tt0098832,6.4,337
tt0098833,8.5,12870
tt0098834,8.1,1811
tt0098835,6.7,87
tt0098836,6.3,40
tt0098837,7.8,17092
tt0098838,7.3,162
tt0098840,5.9,180
tt0098841,6.4,105
tt0098842,7.8,29
tt0098844,7.8,41726
tt0098845,7.6,21
tt0098846,8.6,267
tt0098847,6.6,25
tt0098848,5.7,67
tt0098849,8.1,661
tt0098850,7.5,47
tt0098851,6.9,380
tt0098852,7.0,30
tt0098853,6.8,13
tt0098854,8.5,15
